class,year,month,day
11.113,1851,5,1
13.418,1851,6,1
14.531,1851,7,1
13.751,1851,8,1
11.677,1851,9,1
9.122,1851,10,1
4.973,1851,11,1
3.14,1851,12,1
2.3760000000000003,1852,1,1
2.54,1852,2,1
3.884,1852,3,1
7.486999999999999,1852,4,1
11.169,1852,5,1
13.164,1852,6,1
14.512,1852,7,1
13.304,1852,8,1
11.478,1852,9,1
8.91,1852,10,1
4.593,1852,11,1
3.785,1852,12,1
1.786,1853,1,1
2.228,1853,2,1
4.078,1853,3,1
7.540999999999999,1853,4,1
10.975,1853,5,1
13.41,1853,6,1
14.645,1853,7,1
13.953,1853,8,1
11.71,1853,9,1
8.535,1853,10,1
4.783,1853,11,1
2.858,1853,12,1
1.281,1854,1,1
1.9409999999999998,1854,2,1
4.698,1854,3,1
7.622000000000001,1854,4,1
11.095,1854,5,1
12.829,1854,6,1
14.692,1854,7,1
13.889,1854,8,1
11.514,1854,9,1
9.763,1854,10,1
5.745,1854,11,1
3.457,1854,12,1
2.522,1855,1,1
2.9819999999999998,1855,2,1
4.617,1855,3,1
8.58,1855,4,1
11.186,1855,5,1
12.984000000000002,1855,6,1
13.925999999999998,1855,7,1
13.547,1855,8,1
11.140999999999998,1855,9,1
8.443999999999999,1855,10,1
5.186,1855,11,1
2.214,1855,12,1
2.76,1856,1,1
